generation_index,individual_index,cap_post_loading,cap_post_conveyor,cap_post_washing,cap_pre_press1,cap_pre_press2,cap_post_press12,wip,throughput
6,30,1,1,1,1,4,9,14.330357142857142,26.983333333333334
6,31,1,4,3,2,3,4,18.933531746031747,27.292857142857144
6,32,1,2,2,1,3,2,14.996626984126983,27.035714285714285
6,33,1,1,4,1,1,5,13.952777777777778,26.56904761904762
6,34,1,1,1,6,2,3,17.206349206349206,27.252380952380953
6,35,1,2,2,2,2,5,15.074801587301588,27.198809523809523
6,36,1,1,4,1,1,9,14.086309523809524,26.48095238095238
6,37,2,1,4,9,5,8,27.053174603174604,27.42142857142857
6,38,2,1,4,9,5,8,27.053174603174604,27.42142857142857
6,39,1,2,2,3,2,5,16.207142857142856,27.22142857142857
6,40,2,1,4,1,1,9,14.832341269841269,26.603571428571428
6,41,2,1,3,1,3,9,16.007142857142856,27.02261904761905
6,42,1,1,2,1,4,3,15.089880952380952,26.823809523809523
6,43,5,1,1,3,2,8,18.264285714285712,27.239285714285714
6,44,1,1,2,1,4,4,15.190674603174603,26.970238095238095
6,45,2,1,2,6,5,7,22.38154761904762,27.389285714285716
6,46,2,1,2,4,10,2,25.07202380952381,27.397619047619045
6,47,2,1,3,1,1,8,14.165674603174603,26.54285714285714
6,48,1,3,2,6,3,2,21.21825396825397,27.37142857142857
6,49,4,1,1,1,2,2,15.187698412698413,26.84404761904762
7,0,6,3,2,7,4,7,28.17718253968254,27.507142857142856
7,1,1,3,3,3,9,5,25.117261904761904,27.504761904761903
7,2,6,3,2,7,4,7,28.17718253968254,27.507142857142856
7,3,1,1,2,1,1,8,12.14642857142857,26.66547619047619
7,4,1,4,2,2,3,9,18.174801587301587,27.39761904761905
7,5,1,2,2,3,2,4,16.179960317460317,27.34285714285714
7,6,1,1,2,2,2,5,14.227976190476191,27.28690476190476
7,7,4,1,1,3,2,8,17.232738095238094,27.395238095238096
7,8,1,1,2,2,2,5,14.227976190476191,27.28690476190476
7,9,1,2,2,3,2,4,16.179960317460317,27.34285714285714
7,10,2,1,2,1,1,8,13.133333333333333,26.702380952380953
7,11,1,1,2,2,2,5,14.227976190476191,27.28690476190476
7,12,1,1,2,1,1,8,12.14642857142857,26.66547619047619
7,13,4,1,1,3,2,8,17.232738095238094,27.395238095238096
7,14,1,1,2,1,3,3,14.024007936507937,26.989285714285714
7,15,1,3,1,6,2,4,19.225,27.41190476190476
7,16,1,1,3,1,1,5,12.84484126984127,26.461904761904762
7,17,5,9,10,9,5,9,43.910515873015875,27.502380952380953
7,18,5,9,10,9,5,9,43.910515873015875,27.502380952380953
7,19,6,4,2,7,3,4,28.235714285714284,27.44047619047619
7,20,1,1,2,1,3,4,14.117460317460317,26.797619047619047
7,21,1,2,4,9,5,8,27.052777777777777,27.42142857142857
7,22,4,1,1,6,2,3,20.206150793650792,27.41190476190476
7,23,1,1,4,1,1,5,13.952777777777778,26.56904761904762
7,24,1,2,2,1,3,2,14.996626984126983,27.035714285714285
7,25,1,2,2,2,2,5,15.074801587301588,27.198809523809523
7,26,1,1,2,1,3,7,14.199603174603174,26.951190476190476
7,27,1,1,3,1,1,8,12.98611111111111,26.523809523809522
7,28,2,4,1,4,2,2,19.226785714285715,27.379761904761907
7,29,1,4,3,2,3,4,18.933531746031747,27.292857142857144
7,30,1,1,2,6,2,3,18.190873015873017,27.270238095238096
7,31,2,2,2,2,2,5,16.088293650793652,27.24404761904762
7,32,1,1,1,1,4,9,14.330357142857142,26.983333333333334
7,33,1,1,1,6,2,3,17.206349206349206,27.252380952380953
7,34,1,1,1,1,4,9,14.330357142857142,26.983333333333334
7,35,1,1,4,1,1,5,13.952777777777778,26.56904761904762
7,36,1,2,2,2,2,5,15.074801587301588,27.198809523809523
7,37,4,1,1,6,2,3,20.206150793650792,27.41190476190476
7,38,2,2,2,2,2,5,16.088293650793652,27.24404761904762
7,39,2,4,1,4,2,2,19.226785714285715,27.379761904761907
7,40,1,1,1,6,2,3,17.206349206349206,27.252380952380953
7,41,1,1,2,1,3,7,14.199603174603174,26.951190476190476
7,42,1,4,3,2,3,4,18.933531746031747,27.292857142857144
7,43,1,1,4,1,1,5,13.952777777777778,26.56904761904762
7,44,1,2,2,2,2,5,15.074801587301588,27.198809523809523
7,45,1,1,4,1,1,5,13.952777777777778,26.56904761904762
7,46,1,1,2,1,3,7,14.199603174603174,26.951190476190476
7,47,1,1,4,1,1,5,13.952777777777778,26.56904761904762
7,48,1,1,2,1,3,7,14.199603174603174,26.951190476190476
7,49,1,1,2,1,3,7,14.199603174603174,26.951190476190476
8,0,1,3,3,3,9,5,25.117261904761904,27.504761904761903
8,1,1,1,2,1,1,8,12.14642857142857,26.66547619047619
8,2,1,4,2,2,3,9,18.174801587301587,27.39761904761905
8,3,1,2,2,3,2,4,16.179960317460317,27.34285714285714
8,4,1,1,2,2,2,5,14.227976190476191,27.28690476190476
8,5,4,1,1,3,2,8,17.232738095238094,27.395238095238096
8,6,1,1,2,2,2,5,14.227976190476191,27.28690476190476
8,7,1,2,2,3,2,4,16.179960317460317,27.34285714285714
8,8,2,1,2,1,1,8,13.133333333333333,26.702380952380953
8,9,1,1,2,2,2,5,14.227976190476191,27.28690476190476
8,10,1,1,2,1,1,8,12.14642857142857,26.66547619047619
8,11,4,1,1,3,2,8,17.232738095238094,27.395238095238096
8,12,1,1,2,1,3,3,14.024007936507937,26.989285714285714
8,13,1,3,1,6,2,4,19.225,27.41190476190476
8,14,1,1,2,2,2,9,14.158730158730158,27.242857142857144
8,15,1,1,2,2,2,3,14.165674603174603,27.245238095238093
8,16,1,3,3,3,9,5,25.117261904761904,27.504761904761903
8,17,1,1,2,1,1,8,12.14642857142857,26.66547619047619
8,18,1,1,2,1,1,3,12.137896825396826,26.567857142857143
8,19,4,1,1,3,2,8,17.232738095238094,27.395238095238096
8,20,1,1,2,2,2,5,14.227976190476191,27.28690476190476
8,21,6,2,2,7,4,8,27.17718253968254,27.507142857142856
8,22,1,1,2,1,1,8,12.14642857142857,26.66547619047619
8,23,1,1,2,1,1,2,12.105357142857143,26.442857142857143
8,24,1,3,1,6,2,4,19.225,27.41190476190476
8,25,2,1,2,1,1,8,13.133333333333333,26.702380952380953
8,26,1,1,2,2,2,5,14.227976190476191,27.28690476190476
8,27,1,1,2,1,1,8,12.14642857142857,26.66547619047619
