generation,individual_index,post_loading_buffer_capacity,post_conveyor_buffer_capacity,post_washing_buffer_capacity,pre_press1_buffer_capacity,pre_press2_buffer_capacity,post_press12_buffer_capacity,throughput,energy consumption per part
7,49,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
8,0,9,1,8,6,3,8,27.395238095238096,0.4491771829501502
8,1,9,1,1,4,4,8,27.517857142857142,0.449663254788134
8,2,9,1,8,6,3,8,27.395238095238096,0.4491771829501502
8,3,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
8,4,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
8,5,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,6,9,3,1,4,6,2,27.475,0.45052774496498316
8,7,9,3,1,4,6,2,27.475,0.45052774496498316
8,8,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,9,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
8,10,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
8,11,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
8,12,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,13,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,14,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,15,9,3,1,4,6,2,27.475,0.45052774496498316
8,16,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,17,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,18,9,3,1,4,6,2,27.475,0.45052774496498316
8,19,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
8,20,9,3,1,4,6,2,27.475,0.45052774496498316
8,21,9,1,7,5,3,6,27.420238095238094,0.45006710619046847
8,22,7,4,8,4,6,8,27.43095238095238,0.4503889371752456
8,23,1,6,5,9,4,8,27.457142857142856,0.45058931546440634
8,24,5,3,6,9,6,6,27.420238095238094,0.4502015577245734
8,25,5,3,6,9,6,6,27.420238095238094,0.4502015577245734
8,26,6,1,9,5,4,8,27.457142857142856,0.45059485727484694
